Performing image warping using TORCH_ALL
Working on image 0
Not saving images, only evaluating output
Time taken was 1.314126
Reference position is (4, 4)
Position (5, 2): PSNR 39.474522, SSIM 0.963693
Position (5, 3): PSNR 41.621973, SSIM 0.972443
Position (5, 4): PSNR 42.107667, SSIM 0.974377
Position (5, 5): PSNR 40.125751, SSIM 0.966443
Position (5, 6): PSNR 38.355965, SSIM 0.958171
Position (5, 7): PSNR 36.482759, SSIM 0.948839
Position (6, 0): PSNR 35.421388, SSIM 0.936666
Position (6, 1): PSNR 36.572585, SSIM 0.944175
Position (6, 2): PSNR 37.759695, SSIM 0.951403
Position (6, 3): PSNR 38.453133, SSIM 0.956421
Position (6, 4): PSNR 38.326169, SSIM 0.955360
Position (6, 5): PSNR 37.971004, SSIM 0.953566
Position (6, 6): PSNR 36.921586, SSIM 0.945987
Position (6, 7): PSNR 35.670413, SSIM 0.938090
Position (7, 0): PSNR 34.564875, SSIM 0.923725
Position (7, 1): PSNR 35.306900, SSIM 0.929561
Position (7, 2): PSNR 35.883195, SSIM 0.934318
Position (7, 3): PSNR 36.067887, SSIM 0.935619
Position (7, 4): PSNR 35.796175, SSIM 0.932603
Position (7, 5): PSNR 35.838787, SSIM 0.934156
Position (7, 6): PSNR 35.341254, SSIM 0.929321
Position (7, 7): PSNR 34.558081, SSIM 0.922253

psnr average 37.288513, stddev 8.287545
ssim average 0.935963, stddev 0.024872
Working on image 5
Not saving images, only evaluating output
Time taken was 1.356222
Reference position is (4, 4)
Position (0, 0): PSNR 30.734798, SSIM 0.887357
Position (0, 1): PSNR 31.708733, SSIM 0.898343
Position (0, 2): PSNR 32.635052, SSIM 0.907500
Position (0, 3): PSNR 33.557612, SSIM 0.914347
Position (0, 4): PSNR 34.436418, SSIM 0.923324
Position (0, 5): PSNR 34.052690, SSIM 0.919332
Position (0, 6): PSNR 33.292581, SSIM 0.912703
Position (0, 7): PSNR 32.578338, SSIM 0.906000
Position (1, 0): PSNR 31.068870, SSIM 0.892976
Position (1, 1): PSNR 32.221064, SSIM 0.906113
Position (1, 2): PSNR 33.470626, SSIM 0.917335
Position (1, 3): PSNR 34.736676, SSIM 0.926456
Position (1, 4): PSNR 35.817716, SSIM 0.936901
Position (1, 5): PSNR 35.170183, SSIM 0.929962
Position (1, 6): PSNR 34.097857, SSIM 0.921980
Position (1, 7): PSNR 33.109204, SSIM 0.914158
Position (2, 0): PSNR 31.397523, SSIM 0.899333
Position (2, 1): PSNR 32.643024, SSIM 0.912572
Position (2, 2): PSNR 34.225735, SSIM 0.926851
Position (2, 3): PSNR 36.154599, SSIM 0.938985
Position (2, 4): PSNR 37.607098, SSIM 0.949380
Position (2, 5): PSNR 36.386768, SSIM 0.939653
Position (2, 6): PSNR 34.943129, SSIM 0.930864
Position (2, 7): PSNR 33.593650, SSIM 0.921569
Position (3, 0): PSNR 31.639229, SSIM 0.903577
Position (3, 1): PSNR 33.042708, SSIM 0.918108
Position (3, 2): PSNR 34.991333, SSIM 0.933828
Position (3, 3): PSNR 37.972611, SSIM 0.950323
Position (3, 4): PSNR 40.711683, SSIM 0.964679
Position (3, 5): PSNR 37.783971, SSIM 0.949090
Position (3, 6): PSNR 35.841063, SSIM 0.938971
Position (3, 7): PSNR 34.150181, SSIM 0.927685
Position (4, 0): PSNR 31.837820, SSIM 0.908981
Position (4, 1): PSNR 33.356497, SSIM 0.923840
Position (4, 2): PSNR 35.573647, SSIM 0.940236
Position (4, 3): PSNR 39.450869, SSIM 0.960022
Position (4, 4): PSNR 100.000000, SSIM 1.000000
Position (4, 5): PSNR 39.048592, SSIM 0.958713
Position (4, 6): PSNR 36.280540, SSIM 0.944044
Position (4, 7): PSNR 34.461854, SSIM 0.931607
Position (5, 0): PSNR 31.796002, SSIM 0.906150
Position (5, 1): PSNR 33.219498, SSIM 0.920313
Position (5, 2): PSNR 35.159530, SSIM 0.935182
Position (5, 3): PSNR 37.899501, SSIM 0.951632
Position (5, 4): PSNR 39.842960, SSIM 0.962458
Position (5, 5): PSNR 37.680824, SSIM 0.950654
Position (5, 6): PSNR 35.728700, SSIM 0.939553
Position (5, 7): PSNR 34.124940, SSIM 0.927624
Position (6, 0): PSNR 31.535079, SSIM 0.903390
Position (6, 1): PSNR 32.800576, SSIM 0.916337
