Performing image warping using TORCH_ALL
Working on image 0
Not saving images, only evaluating output
Time taken was 1.286961
Reference position is (4, 4)
Position (0, 1): PSNR 31.738502, SSIM 0.901833
Position (0, 2): PSNR 32.647178, SSIM 0.910987
Position (0, 3): PSNR 33.609594, SSIM 0.918547
Position (0, 4): PSNR 34.447524, SSIM 0.925435
Position (0, 5): PSNR 34.290797, SSIM 0.925028
Position (0, 6): PSNR 33.543165, SSIM 0.918582
Position (0, 7): PSNR 32.765319, SSIM 0.910974
Position (1, 0): PSNR 31.065409, SSIM 0.895288
Position (1, 1): PSNR 32.200247, SSIM 0.908616
Position (1, 2): PSNR 33.448844, SSIM 0.920473
Position (1, 3): PSNR 34.778764, SSIM 0.930231
Position (1, 4): PSNR 35.838319, SSIM 0.938923
Position (1, 5): PSNR 35.540051, SSIM 0.936913
Position (1, 6): PSNR 34.398121, SSIM 0.927919
Position (1, 7): PSNR 33.333441, SSIM 0.919817
Position (2, 0): PSNR 31.362069, SSIM 0.900739
Position (2, 1): PSNR 32.582331, SSIM 0.914228
Position (2, 2): PSNR 34.146340, SSIM 0.929110
Position (2, 3): PSNR 36.145609, SSIM 0.942358
Position (2, 4): PSNR 37.602960, SSIM 0.951462
Position (2, 5): PSNR 36.886697, SSIM 0.947204
Position (2, 6): PSNR 35.289766, SSIM 0.937238
Position (2, 7): PSNR 33.816048, SSIM 0.926542
Position (3, 0): PSNR 31.590545, SSIM 0.904746
Position (3, 1): PSNR 32.972403, SSIM 0.919403
Position (3, 2): PSNR 34.874302, SSIM 0.936264
Position (3, 3): PSNR 37.859141, SSIM 0.953010
Position (3, 4): PSNR 40.712508, SSIM 0.966224
Position (3, 5): PSNR 38.557136, SSIM 0.957221
Position (3, 6): PSNR 36.290941, SSIM 0.945582
Position (3, 7): PSNR 34.414995, SSIM 0.932826
Position (4, 0): PSNR 31.779885, SSIM 0.909014
Position (4, 1): PSNR 33.246275, SSIM 0.923197
Position (4, 2): PSNR 35.418922, SSIM 0.940793
Position (4, 3): PSNR 39.194417, SSIM 0.960978
Position (4, 4): PSNR 100.000000, SSIM 1.000000
Position (4, 5): PSNR 39.920672, SSIM 0.964936
Position (4, 6): PSNR 36.633422, SSIM 0.948126
Position (4, 7): PSNR 34.654850, SSIM 0.934534
Position (5, 0): PSNR 31.751378, SSIM 0.908115
Position (5, 1): PSNR 33.142688, SSIM 0.921899
Position (5, 2): PSNR 35.092948, SSIM 0.938360
Position (5, 3): PSNR 37.912758, SSIM 0.955292
Position (5, 4): PSNR 40.331255, SSIM 0.965885
Position (5, 5): PSNR 38.501647, SSIM 0.958059
Position (5, 6): PSNR 36.141737, SSIM 0.944927
Position (5, 7): PSNR 34.364615, SSIM 0.931796
Position (6, 0): PSNR 31.495428, SSIM 0.904639
Position (6, 1): PSNR 32.740309, SSIM 0.917151
Position (6, 2): PSNR 34.264059, SSIM 0.931968
Position (6, 3): PSNR 36.030933, SSIM 0.945761
Position (6, 4): PSNR 37.098890, SSIM 0.951444
Position (6, 5): PSNR 36.671769, SSIM 0.948362
Position (6, 6): PSNR 35.389963, SSIM 0.938969
Position (6, 7): PSNR 33.950305, SSIM 0.926826
Position (7, 0): PSNR 31.267578, SSIM 0.899573
Position (7, 1): PSNR 32.355598, SSIM 0.911547
Position (7, 2): PSNR 33.492852, SSIM 0.924112
Position (7, 3): PSNR 34.693534, SSIM 0.936245
Position (7, 4): PSNR 35.341001, SSIM 0.939967
Position (7, 5): PSNR 35.187042, SSIM 0.937258
Position (7, 6): PSNR 34.473803, SSIM 0.930168
Position (7, 7): PSNR 33.469161, SSIM 0.920146

psnr average 35.711011, stddev 8.429350
ssim average 0.931464, stddev 0.020197
Working on image 6
Not saving images, only evaluating output
Time taken was 1.225094
Reference position is (4, 4)
Position (0, 0): PSNR 31.328380, SSIM 0.880689
Position (0, 1): PSNR 32.122386, SSIM 0.887681
Position (0, 2): PSNR 32.892499, SSIM 0.894420
Position (0, 3): PSNR 33.398018, SSIM 0.899098
Position (0, 4): PSNR 33.633927, SSIM 0.901318
Position (0, 5): PSNR 33.450173, SSIM 0.898504
Position (0, 6): PSNR 32.930882, SSIM 0.892270
Position (0, 7): PSNR 32.151992, SSIM 0.884564
Position (1, 0): PSNR 31.946859, SSIM 0.891327
Position (1, 1): PSNR 32.986606, SSIM 0.901280
Position (1, 2): PSNR 34.102384, SSIM 0.910489
Position (1, 3): PSNR 34.890355, SSIM 0.916877
Position (1, 4): PSNR 35.251659, SSIM 0.920584
Position (1, 5): PSNR 34.922760, SSIM 0.915903
Position (1, 6): PSNR 34.063639, SSIM 0.908035
Position (1, 7): PSNR 32.997806, SSIM 0.898509
Position (2, 0): PSNR 32.501120, SSIM 0.902960
Position (2, 1): PSNR 33.824866, SSIM 0.914317
Position (2, 2): PSNR 35.440178, SSIM 0.927157
Position (2, 3): PSNR 36.900914, SSIM 0.938091
Position (2, 4): PSNR 37.678439, SSIM 0.943011
Position (2, 5): PSNR 36.891508, SSIM 0.935827
Position (2, 6): PSNR 35.384427, SSIM 0.925686
Position (2, 7): PSNR 33.885740, SSIM 0.913921
Position (3, 0): PSNR 32.895256, SSIM 0.911182
Position (3, 1): PSNR 34.515974, SSIM 0.925247
Position (3, 2): PSNR 36.715972, SSIM 0.941779
Position (3, 3): PSNR 39.382793, SSIM 0.956708
Position (3, 4): PSNR 41.202574, SSIM 0.963843
Position (3, 5): PSNR 39.511609, SSIM 0.956632
Position (3, 6): PSNR 36.749869, SSIM 0.941962
Position (3, 7): PSNR 34.592240, SSIM 0.926486
Position (4, 0): PSNR 33.055861, SSIM 0.915204
Position (4, 1): PSNR 34.841828, SSIM 0.931333
Position (4, 2): PSNR 37.283943, SSIM 0.947443
Position (4, 3): PSNR 41.024530, SSIM 0.966217
Position (4, 4): PSNR 100.000000, SSIM 1.000000
Position (4, 5): PSNR 41.303176, SSIM 0.967143
Position (4, 6): PSNR 37.457515, SSIM 0.950690
Position (4, 7): PSNR 35.006652, SSIM 0.937238
Position (5, 0): PSNR 32.884809, SSIM 0.910488
Position (5, 1): PSNR 34.517892, SSIM 0.925064
Position (5, 2): PSNR 36.543102, SSIM 0.940018
Position (5, 3): PSNR 39.080315, SSIM 0.954077
Position (5, 4): PSNR 41.195672, SSIM 0.964157
Position (5, 5): PSNR 39.427711, SSIM 0.956903
Position (5, 6): PSNR 36.709213, SSIM 0.944892
Position (5, 7): PSNR 34.620521, SSIM 0.931152
Position (6, 0): PSNR 32.511693, SSIM 0.901375
Position (6, 1): PSNR 33.849324, SSIM 0.914607
Position (6, 2): PSNR 35.240196, SSIM 0.925617
Position (6, 3): PSNR 36.640844, SSIM 0.934119
Position (6, 4): PSNR 37.435176, SSIM 0.940600
Position (6, 5): PSNR 36.752546, SSIM 0.936464
Position (6, 6): PSNR 35.199124, SSIM 0.928091
Position (6, 7): PSNR 33.789365, SSIM 0.917792
Position (7, 0): PSNR 32.001737, SSIM 0.890868
Position (7, 1): PSNR 33.032364, SSIM 0.901144
Position (7, 2): PSNR 33.956448, SSIM 0.909541
Position (7, 3): PSNR 34.727015, SSIM 0.914244
Position (7, 4): PSNR 35.062366, SSIM 0.917323
Position (7, 5): PSNR 34.675907, SSIM 0.915085
Position (7, 6): PSNR 33.768712, SSIM 0.909426
Position (7, 7): PSNR 32.846165, SSIM 0.902261

psnr average 36.212274, stddev 8.408430
ssim average 0.923858, stddev 0.023894
Working on image 7
Not saving images, only evaluating output
Time taken was 1.224054
Reference position is (4, 4)
Position (0, 0): PSNR 24.187826, SSIM 0.761786
Position (0, 1): PSNR 24.597756, SSIM 0.767530
Position (0, 2): PSNR 24.806145, SSIM 0.770415
Position (0, 3): PSNR 25.119417, SSIM 0.779764
Position (0, 4): PSNR 25.512690, SSIM 0.788458
Position (0, 5): PSNR 25.946954, SSIM 0.798019
Position (0, 6): PSNR 26.060245, SSIM 0.797372
Position (0, 7): PSNR 25.824123, SSIM 0.792065
Position (1, 0): PSNR 24.406999, SSIM 0.776470
Position (1, 1): PSNR 25.052472, SSIM 0.785970
Position (1, 2): PSNR 25.705728, SSIM 0.795720
Position (1, 3): PSNR 26.296637, SSIM 0.808479
Position (1, 4): PSNR 26.762249, SSIM 0.822467
Position (1, 5): PSNR 26.986335, SSIM 0.826717
Position (1, 6): PSNR 26.896050, SSIM 0.821805
Position (1, 7): PSNR 26.472372, SSIM 0.815822
Position (2, 0): PSNR 24.853824, SSIM 0.803343
Position (2, 1): PSNR 25.705703, SSIM 0.817809
Position (2, 2): PSNR 26.938482, SSIM 0.835246
Position (2, 3): PSNR 28.249791, SSIM 0.855907
